work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L
2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,S
2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,S
2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M
2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,M
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L
2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M
2023,SE,FT,Data Scientist,141000,USD,141000,CA,0,CA,M
2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M
2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M
2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L
2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L
2023,SE,FT,Data Modeler,147100,USD,147100,US,0,US,M
2023,SE,FT,Data Modeler,90700,USD,90700,US,0,US,M
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M
2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M
2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,M
2023,SE,FT,Research Engineer,174000,USD,174000,DE,0,DE,M
2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,M
2023,SE,FT,Analytics Engineer,143200,USD,143200,GB,100,GB,M
2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M
2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,M
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M
2023,SE,FT,Data Strategist,90000,USD,90000,CA,0,CA,M
2023,SE,FT,Data Strategist,72000,USD,72000,CA,0,CA,M
2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M
2023,SE,FT,Data Engineer,90700,USD,90700,US,0,US,M
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M
2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,M
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M
2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M
2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M
2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,L
2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L
2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,L
2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,L
2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,L
2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,M
2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M
2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M
2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M
2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M
2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M
2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M
2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M
2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M
2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,M
2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,M
2023,SE,FT,Data Engineer,123600,USD,123600,US,100,US,M
2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,M
2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,M
2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M
2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,M
2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,M
2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M
2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,M
2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,M
2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M
2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,M
2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,M
2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,M
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M
2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M
2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,M
2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M
2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M
2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,M
2023,SE,FT,Data Engineer,193500,USD,193500,US,100,US,M
2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,M
2023,MI,FT,Data Scientist,510000,HKD,65062,HK,0,HK,L
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M
2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,IN,100,DE,S
2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L
